day,hour,precinct,criminal,traffic
0,0,44,157,154
0,0,103,75,99
0,0,28,40,2361
0,0,105,78,21
0,0,13,68,41676
0,0,71,101,473
0,0,7,47,14102
0,0,46,96,100
0,0,48,93,20
0,0,19,65,25313
0,0,41,79,28
0,0,14,59,74199
0,0,67,200,32
0,0,17,36,48035
0,0,61,87,29
0,0,102,97,271
0,0,110,68,878
0,0,108,63,4784
0,0,75,219,65
0,0,73,122,101
0,0,60,145,23
0,0,68,43,87
0,0,79,80,705
0,0,23,93,5589
0,0,42,67,30
0,0,115,131,19778
0,0,52,129,38
0,0,122,79,7
0,0,72,81,212
0,0,109,111,111
0,0,24,66,9917
0,0,81,72,871
0,0,90,108,9452
0,0,112,65,510
0,0,43,169,60
0,0,84,66,6025
0,0,47,138,29
0,0,77,82,925
0,0,101,56,5
0,0,83,102,753
0,0,113,108,29526
0,0,120,112,44
0,0,70,90,353
0,0,69,59,7
0,0,66,58,50
0,0,114,144,5137
0,0,76,29,1126
0,0,63,59,53
0,0,45,67,28
0,0,106,97,63
0,0,10,32,32457
0,0,78,39,3480
0,0,6,52,69189
0,0,5,24,22652
0,0,94,60,6805
0,0,40,134,375
0,0,34,122,816
0,0,32,88,1048
0,0,50,44,70
0,0,25,89,2312
0,0,100,28,10
0,0,18,65,58598
0,0,20,40,17443
0,0,111,63,44
0,0,107,69,117
0,0,30,49,1367
0,0,49,102,45
0,0,88,54,2913
0,0,26,33,3600
0,0,123,50,15
0,0,9,94,35208
0,0,104,95,161
0,0,33,65,1325
0,0,62,99,43
0,0,22,4,3961
0,0,1,10,1000
0,1,44,101,95
0,1,103,56,53
0,1,28,25,1608
0,1,105,69,9
0,1,13,26,23817
0,1,71,59,444
0,1,7,32,9833
0,1,46,82,108
0,1,48,81,19
0,1,19,48,13252
0,1,41,51,28
0,1,14,63,42124
0,1,67,107,44
0,1,17,13,29250
0,1,61,44,39
0,1,102,73,184
0,1,110,74,942
0,1,108,46,4057
0,1,75,143,66
0,1,73,72,109
0,1,60,57,7
0,1,68,27,79
0,1,79,48,575
0,1,23,58,3221
0,1,42,57,31
0,1,115,99,3210
0,1,52,93,49
0,1,122,37,9
0,1,1,30,12945
0,1,72,49,160
0,1,109,49,89
0,1,24,34,5984
0,1,81,50,784
0,1,90,72,6849
0,1,112,27,257
0,1,43,116,41
0,1,84,20,3515
0,1,47,89,25
0,1,77,49,742
0,1,101,39,6
0,1,83,58,598
0,1,113,87,12172
0,1,120,81,40
0,1,70,67,240
0,1,69,49,18
0,1,66,35,63
0,1,114,71,4238
0,1,76,14,667
0,1,63,44,37
0,1,45,40,19
0,1,106,56,45
0,1,10,39,20659
0,1,78,20,2195
0,1,6,54,48593
0,1,5,23,13181
0,1,94,37,4794
0,1,40,112,277
0,1,34,62,430
0,1,32,49,716
0,1,50,35,47
0,1,25,40,1663
0,1,100,11,1
0,1,18,41,35445
0,1,20,19,10065
0,1,111,18,34
0,1,107,44,86
0,1,30,37,901
0,1,49,57,21
0,1,88,29,1639
0,1,26,22,2363
0,1,123,20,5
0,1,9,37,24685
0,1,104,56,117
0,1,33,33,739
0,1,62,45,19
0,1,22,3,1970
0,2,44,86,56
0,2,103,41,41
0,2,28,22,1034
0,2,105,60,15
0,2,13,37,14683
0,2,71,46,223
0,2,7,24,7076
0,2,46,81,50
0,2,48,65,9
0,2,19,31,8161
0,2,41,28,25
0,2,14,32,25486
0,2,67,64,41
0,2,17,19,17563
0,2,61,25,37
0,2,102,52,61
0,2,110,60,902
0,2,108,47,3168
0,2,75,110,48
0,2,73,58,63
0,2,60,47,6
0,2,68,24,64
0,2,79,49,384
0,2,23,37,2097
0,2,42,44,22
0,2,115,100,1227
0,2,52,58,17
0,2,122,34,3
0,2,1,25,7562
0,2,72,37,103
0,2,109,39,102
0,2,24,22,3769
0,2,81,36,621
0,2,90,38,5290
0,2,112,16,220
0,2,43,87,38
0,2,84,24,2052
0,2,47,65,24
0,2,77,45,397
0,2,101,24,8
0,2,83,64,449
0,2,113,67,3839
0,2,120,59,32
0,2,70,61,224
0,2,69,33,8
0,2,66,29,50
0,2,114,74,3290
0,2,76,11,397
0,2,63,37,45
0,2,45,40,8
0,2,106,43,45
0,2,10,28,17067
0,2,78,25,1292
0,2,6,36,36980
0,2,5,22,8936
0,2,94,20,3560
0,2,40,66,206
0,2,34,60,227
0,2,32,30,510
0,2,50,21,27
0,2,25,32,1007
0,2,100,15,2
0,2,18,35,24078
0,2,20,14,5084
0,2,111,14,4
0,2,107,31,30
0,2,30,31,669
0,2,49,41,24
0,2,88,12,1127
0,2,26,11,1520
0,2,123,18,1
0,2,9,33,17807
0,2,104,50,55
0,2,33,37,514
0,2,62,34,10
0,2,22,1,943
0,3,44,64,84
0,3,103,30,24
0,3,28,18,703
0,3,105,30,5
0,3,13,21,10178
0,3,71,41,188
0,3,7,17,4736
0,3,46,40,69
0,3,48,55,17
0,3,19,22,5829
0,3,41,39,32
0,3,14,29,15101
0,3,67,73,18
0,3,17,14,11524
0,3,61,29,9
0,3,102,37,70
0,3,110,50,640
0,3,108,40,2389
0,3,75,73,23
0,3,73,45,41
0,3,60,31,7
0,3,68,16,22
0,3,79,31,234
0,3,23,18,1760
0,3,42,35,10
0,3,115,96,1082
0,3,52,47,36
0,3,122,17,6
0,3,1,18,4905
0,3,72,30,86
0,3,109,33,69
0,3,24,18,2894
0,3,81,37,479
0,3,90,22,4045
0,3,112,14,127
0,3,43,56,23
0,3,84,14,1196
0,3,47,53,19
0,3,77,33,233
0,3,101,17,16
0,3,83,66,317
0,3,113,50,1669
0,3,120,39,57
0,3,70,36,110
0,3,69,23,14
0,3,66,31,43
0,3,114,60,2374
0,3,76,12,301
0,3,63,25,25
0,3,45,31,10
0,3,106,47,24
0,3,10,34,10606
0,3,78,12,697
0,3,6,28,26687
0,3,5,16,5867
0,3,94,17,2289
0,3,40,52,142
0,3,34,44,124
0,3,32,33,355
0,3,50,26,10
0,3,25,23,877
0,3,18,34,18670
0,3,20,12,3263
0,3,111,11,22
0,3,107,28,51
0,3,30,31,416
0,3,49,20,14
0,3,88,12,661
0,3,26,16,1132
0,3,123,8,5
0,3,9,16,12965
0,3,104,31,78
0,3,33,26,312
0,3,62,34,22
0,3,22,2,670
0,3,100,10,1000
0,4,44,63,96
0,4,103,49,28
0,4,28,13,1000
0,4,105,31,14
0,4,13,28,11933
0,4,71,49,211
0,4,7,22,3713
0,4,46,45,71
0,4,48,35,18
0,4,19,19,9824
0,4,41,28,34
0,4,14,45,18150
0,4,67,54,18
0,4,17,12,13698
0,4,61,28,25
0,4,102,50,94
0,4,110,62,995
0,4,108,41,3513
0,4,75,60,16
0,4,73,32,31
0,4,60,18,6
0,4,68,10,31
