day,hour,precinct,criminal,traffic
0,0,44,157,152
0,0,103,75,72
0,0,28,40,2052
0,0,105,78,21
0,0,13,68,51182
0,0,71,101,330
0,0,7,47,3999
0,0,46,96,86
0,0,48,93,27
0,0,19,65,22399
0,0,41,79,31
0,0,14,59,93777
0,0,67,200,32
0,0,17,36,43251
0,0,61,87,28
0,0,102,97,265
0,0,110,68,897
0,0,108,63,5117
0,0,75,219,63
0,0,73,122,94
0,0,60,145,29
0,0,68,43,71
0,0,79,80,400
0,0,23,93,5617
0,0,42,67,32
0,0,115,131,19857
0,0,52,129,40
0,0,122,79,7
0,0,72,81,224
0,0,109,111,112
0,0,24,66,9139
0,0,81,72,638
0,0,90,108,10080
0,0,112,65,467
0,0,43,169,61
0,0,84,66,6261
0,0,47,138,30
0,0,77,82,889
0,0,101,56,10
0,0,83,102,895
0,0,113,108,29449
0,0,120,112,44
0,0,70,90,358
0,0,69,59,9
0,0,66,58,64
0,0,114,144,4999
0,0,76,29,1278
0,0,63,59,52
0,0,45,67,33
0,0,106,97,175
0,0,10,32,45523
0,0,78,39,3756
0,0,6,52,44302
0,0,5,24,32575
0,0,94,60,4998
0,0,40,134,531
0,0,34,122,837
0,0,32,88,1102
0,0,50,44,75
0,0,25,89,2247
0,0,100,28,10
0,0,18,65,47285
0,0,20,40,15269
0,0,111,63,45
0,0,107,69,115
0,0,30,49,1206
0,0,49,102,39
0,0,88,54,3414
0,0,26,33,4868
0,0,123,50,15
0,0,9,94,42401
0,0,104,95,163
0,0,33,65,1360
0,0,62,99,42
0,0,22,4,5145
0,0,1,10,1000
0,1,44,101,101
0,1,103,56,48
0,1,28,25,1465
0,1,105,69,10
0,1,13,26,29421
0,1,71,59,322
0,1,7,32,2722
0,1,46,82,91
0,1,48,81,32
0,1,19,48,12177
0,1,41,51,30
0,1,14,63,52873
0,1,67,107,45
0,1,17,13,26426
0,1,61,44,42
0,1,102,73,186
0,1,110,74,879
0,1,108,46,4227
0,1,75,143,65
0,1,73,72,102
0,1,60,57,7
0,1,68,27,76
0,1,79,48,350
0,1,23,58,3229
0,1,42,57,27
0,1,115,99,3323
0,1,52,93,48
0,1,122,37,3
0,1,1,30,10158
0,1,72,49,159
0,1,109,49,89
0,1,24,34,5523
0,1,81,50,567
0,1,90,72,7355
0,1,112,27,248
0,1,43,116,39
0,1,84,20,3655
0,1,47,89,19
0,1,77,49,730
0,1,101,39,6
0,1,83,58,789
0,1,113,87,12153
0,1,120,81,46
0,1,70,67,253
0,1,69,49,18
0,1,66,35,79
0,1,114,71,4168
0,1,76,14,769
0,1,63,44,29
0,1,45,40,18
0,1,106,56,64
0,1,10,39,33406
0,1,78,20,2381
0,1,6,54,29237
0,1,5,23,20300
0,1,94,37,3444
0,1,40,112,340
0,1,34,62,437
0,1,32,49,771
0,1,50,35,52
0,1,25,40,1698
0,1,100,11,1
0,1,18,41,29204
0,1,20,19,8896
0,1,111,18,36
0,1,107,44,84
0,1,30,37,729
0,1,49,57,33
0,1,88,29,2017
0,1,26,22,3150
0,1,123,20,5
0,1,9,37,28905
0,1,104,56,125
0,1,33,33,771
0,1,62,45,16
0,1,22,3,2142
0,2,44,86,58
0,2,103,41,36
0,2,28,22,898
0,2,105,60,11
0,2,13,37,17989
0,2,71,46,154
0,2,7,24,1992
0,2,46,81,42
0,2,48,65,16
0,2,19,31,7535
0,2,41,28,30
0,2,14,32,33410
0,2,67,64,44
0,2,17,19,16716
0,2,61,25,37
0,2,102,52,66
0,2,110,60,815
0,2,108,47,3313
0,2,75,110,47
0,2,73,58,61
0,2,60,47,7
0,2,68,24,64
0,2,79,49,208
0,2,23,37,2025
0,2,42,44,20
0,2,115,100,1347
0,2,52,58,18
0,2,122,34,2
0,2,1,25,5526
0,2,72,37,94
0,2,109,39,102
0,2,24,22,3399
0,2,81,36,382
0,2,90,38,5791
0,2,112,16,223
0,2,43,87,36
0,2,84,24,2126
0,2,47,65,23
0,2,77,45,369
0,2,101,24,7
0,2,83,64,623
0,2,113,67,3836
0,2,120,59,33
0,2,70,61,226
0,2,69,33,9
0,2,66,29,59
0,2,114,74,3263
0,2,76,11,462
0,2,63,37,43
0,2,45,40,11
0,2,106,43,52
0,2,10,28,27071
0,2,78,25,1428
0,2,6,36,21742
0,2,5,22,14193
0,2,94,20,2387
0,2,40,66,257
0,2,34,60,232
0,2,32,30,532
0,2,50,21,30
0,2,25,32,1029
0,2,100,15,2
0,2,18,35,19302
0,2,20,14,4716
0,2,111,14,4
0,2,107,31,29
0,2,30,31,553
0,2,49,41,26
0,2,88,12,1428
0,2,26,11,2116
0,2,123,18,1
0,2,9,33,20385
0,2,104,50,51
0,2,33,37,529
0,2,62,34,15
0,2,22,1,1101
0,3,44,64,84
0,3,103,30,34
0,3,28,18,629
0,3,105,30,5
0,3,13,21,11585
0,3,71,41,137
0,3,7,17,1296
0,3,46,40,69
0,3,48,55,16
0,3,19,22,5298
0,3,41,39,35
0,3,14,29,18881
0,3,67,73,21
0,3,17,14,11011
0,3,61,29,11
0,3,102,37,73
0,3,110,50,589
0,3,108,40,2622
0,3,75,73,23
0,3,73,45,28
0,3,60,31,6
0,3,68,16,21
0,3,79,31,147
0,3,23,18,1683
0,3,42,35,9
0,3,115,96,1158
0,3,52,47,39
0,3,122,17,5
0,3,1,18,3229
0,3,72,30,86
0,3,109,33,69
0,3,24,18,2564
0,3,81,37,325
0,3,90,22,4208
0,3,112,14,118
0,3,43,56,23
0,3,84,14,1252
0,3,47,53,18
0,3,77,33,244
0,3,101,17,16
0,3,83,66,471
0,3,113,50,1666
0,3,120,39,56
0,3,70,36,115
0,3,69,23,15
0,3,66,31,44
0,3,114,60,2347
0,3,76,12,333
0,3,63,25,22
0,3,45,31,11
0,3,106,47,26
0,3,10,34,23059
0,3,78,12,769
0,3,6,28,14353
0,3,5,16,9553
0,3,94,17,1587
0,3,40,52,186
0,3,34,44,125
0,3,32,33,360
0,3,50,26,11
0,3,25,23,844
0,3,18,34,14563
0,3,20,12,2974
0,3,111,11,22
0,3,107,28,44
0,3,30,31,377
0,3,49,20,13
0,3,88,12,893
0,3,26,16,1669
0,3,123,8,6
0,3,9,16,14480
0,3,104,31,83
0,3,33,26,311
0,3,62,34,22
