day,hour,precinct,criminal,traffic
0,0,44,157,161
0,0,103,75,114
0,0,28,40,2705
0,0,105,78,20
0,0,13,68,43452
0,0,71,101,441
0,0,7,47,10333
0,0,46,96,96
0,0,48,93,12
0,0,19,65,24904
0,0,41,79,32
0,0,14,59,76131
0,0,67,200,32
0,0,17,36,48322
0,0,61,87,28
0,0,102,97,262
0,0,110,68,884
0,0,108,63,5022
0,0,75,219,56
0,0,73,122,105
0,0,60,145,24
0,0,68,43,94
0,0,79,80,861
0,0,23,93,5767
0,0,42,67,26
0,0,115,131,19739
0,0,52,129,36
0,0,122,79,7
0,0,72,81,207
0,0,109,111,111
0,0,24,66,10511
0,0,81,72,910
0,0,90,108,10432
0,0,112,65,502
0,0,43,169,64
0,0,84,66,5755
0,0,47,138,29
0,0,77,82,954
0,0,101,56,5
0,0,83,102,806
0,0,113,108,29529
0,0,120,112,40
0,0,70,90,368
0,0,69,59,8
0,0,66,58,55
0,0,114,144,5331
0,0,76,29,1098
0,0,63,59,52
0,0,45,67,33
0,0,106,97,50
0,0,10,32,27741
0,0,78,39,3695
0,0,6,52,64130
0,0,5,24,23988
0,0,94,60,6012
0,0,40,134,372
0,0,34,122,833
0,0,32,88,1102
0,0,50,44,73
0,0,25,89,2070
0,0,100,28,10
0,0,18,65,61484
0,0,20,40,16841
0,0,111,63,45
0,0,107,69,121
0,0,30,49,1538
0,0,49,102,41
0,0,88,54,2720
0,0,26,33,3310
0,0,123,50,15
0,0,9,94,40924
0,0,104,95,161
0,0,33,65,1302
0,0,62,99,44
0,0,22,4,3375
0,0,1,10,1000
0,1,44,101,88
0,1,103,56,45
0,1,28,25,1826
0,1,105,69,9
0,1,13,26,25188
0,1,71,59,429
0,1,7,32,7156
0,1,46,82,96
0,1,48,81,26
0,1,19,48,12887
0,1,41,51,32
0,1,14,63,43116
0,1,67,107,50
0,1,17,13,29139
0,1,61,44,39
0,1,102,73,187
0,1,110,74,949
0,1,108,46,4214
0,1,75,143,66
0,1,73,72,109
0,1,60,57,7
0,1,68,27,78
0,1,79,48,694
0,1,23,58,3397
0,1,42,57,21
0,1,115,99,3174
0,1,52,93,49
0,1,122,37,9
0,1,1,30,12854
0,1,72,49,162
0,1,109,49,89
0,1,24,34,6462
0,1,81,50,782
0,1,90,72,7571
0,1,112,27,255
0,1,43,116,44
