day,hour,precinct,criminal,traffic
0,0,44,157,161
0,0,103,75,108
0,0,28,40,2641
0,0,105,78,21
0,0,13,68,43618
0,0,71,101,450
0,0,7,47,10076
0,0,46,96,96
0,0,48,93,12
0,0,19,65,24893
0,0,41,79,29
0,0,14,59,75754
0,0,67,200,32
0,0,17,36,47800
0,0,61,87,29
0,0,102,97,266
0,0,110,68,895
0,0,108,63,5000
0,0,75,219,58
0,0,73,122,105
0,0,60,145,25
0,0,68,43,86
0,0,79,80,833
0,0,23,93,5819
0,0,42,67,27
0,0,115,131,19711
0,0,52,129,34
0,0,122,79,7
0,0,72,81,213
0,0,109,111,111
0,0,24,66,10279
0,0,81,72,917
0,0,90,108,10468
0,0,112,65,503
0,0,43,169,64
0,0,84,66,5666
0,0,47,138,29
0,0,77,82,932
0,0,101,56,5
0,0,83,102,816
0,0,113,108,29533
0,0,120,112,40
0,0,70,90,366
0,0,69,59,7
0,0,66,58,57
0,0,114,144,5348
0,0,76,29,1115
0,0,63,59,52
0,0,45,67,33
0,0,106,97,50
0,0,10,32,26566
0,0,78,39,3786
0,0,6,52,66009
0,0,5,24,24581
0,0,94,60,5995
0,0,40,134,371
0,0,34,122,831
0,0,32,88,1128
0,0,50,44,75
0,0,25,89,2047
0,0,100,28,10
0,0,18,65,62189
0,0,20,40,16854
0,0,111,63,44
0,0,107,69,120
0,0,30,49,1508
0,0,49,102,44
0,0,88,54,2724
0,0,26,33,3209
0,0,123,50,15
0,0,9,94,40388
0,0,104,95,161
0,0,33,65,1306
0,0,62,99,42
0,0,22,4,3219
0,0,1,10,1000
0,1,44,101,89
0,1,103,56,48
0,1,28,25,1785
0,1,105,69,9
0,1,13,26,25352
0,1,71,59,428
0,1,7,32,7042
0,1,46,82,97
0,1,48,81,27
0,1,19,48,12937
0,1,41,51,32
0,1,14,63,42711
0,1,67,107,49
0,1,17,13,28767
0,1,61,44,39
0,1,102,73,188
0,1,110,74,945
0,1,108,46,4213
0,1,75,143,66
0,1,73,72,112
0,1,60,57,7
0,1,68,27,77
0,1,79,48,681
0,1,23,58,3342
0,1,42,57,21
0,1,115,99,3164
0,1,52,93,48
0,1,122,37,9
0,1,1,30,12879
0,1,72,49,162
0,1,109,49,88
0,1,24,34,6278
0,1,81,50,781
0,1,90,72,7588
0,1,112,27,253
0,1,43,116,44
0,1,84,20,3313
0,1,47,89,25
0,1,77,49,763
0,1,101,39,6
0,1,83,58,676
0,1,113,87,12177
0,1,120,81,40
0,1,70,67,239
0,1,69,49,18
0,1,66,35,69
0,1,114,71,4415
0,1,76,14,662
0,1,63,44,42
0,1,45,40,19
0,1,106,56,38
0,1,10,39,17230
0,1,78,20,2370
0,1,6,54,46563
0,1,5,23,14471
0,1,94,37,4250
0,1,40,112,279
0,1,34,62,427
0,1,32,49,769
0,1,50,35,53
0,1,25,40,1503
0,1,100,11,1
0,1,18,41,37601
0,1,20,19,9842
0,1,111,18,34
0,1,107,44,86
0,1,30,37,988
0,1,49,57,23
0,1,88,29,1452
0,1,26,22,2096
0,1,123,20,5
0,1,9,37,28104
0,1,104,56,124
0,1,33,33,747
0,1,62,45,20
0,1,22,3,1543
0,2,44,86,56
0,2,103,41,40
0,2,28,22,1115
0,2,105,60,11
0,2,13,37,15507
0,2,71,46,215
0,2,7,24,5006
0,2,46,81,45
0,2,48,65,12
0,2,19,31,7982
0,2,41,28,27
0,2,14,32,26637
0,2,67,64,43
0,2,17,19,17301
0,2,61,25,37
0,2,102,52,62
0,2,110,60,927
0,2,108,47,3341
0,2,75,110,48
0,2,73,58,64
0,2,60,47,5
0,2,68,24,65
0,2,79,49,469
0,2,23,37,2180
0,2,42,44,22
0,2,115,100,1165
0,2,52,58,15
0,2,122,34,3
0,2,1,25,7470
0,2,72,37,100
0,2,109,39,102
0,2,24,22,3896
0,2,81,36,619
0,2,90,38,5983
0,2,112,16,220
0,2,43,87,42
0,2,84,24,1840
0,2,47,65,22
0,2,77,45,402
0,2,101,24,8
0,2,83,64,482
0,2,113,67,3844
0,2,120,59,32
0,2,70,61,223
0,2,69,33,10
0,2,66,29,58
0,2,114,74,3424
0,2,76,11,396
0,2,63,37,50
0,2,45,40,8
0,2,106,43,44
0,2,10,28,14390
0,2,78,25,1474
0,2,6,36,35777
0,2,5,22,9737
0,2,94,20,3096
0,2,40,66,193
0,2,34,60,230
0,2,32,30,520
0,2,50,21,32
0,2,25,32,944
0,2,100,15,2
0,2,18,35,25016
0,2,20,14,5049
0,2,111,14,4
0,2,107,31,29
0,2,30,31,721
0,2,49,41,23
0,2,88,12,964
0,2,26,11,1401
0,2,123,18,1
0,2,9,33,20258
0,2,104,50,50
0,2,33,37,509
0,2,62,34,11
0,2,22,1,709
0,3,44,64,84
0,3,103,30,19
0,3,28,18,753
0,3,105,30,5
0,3,13,21,10130
0,3,71,41,189
0,3,7,17,3329
0,3,46,40,68
0,3,48,55,11
0,3,19,22,5531
0,3,41,39,33
0,3,14,29,14871
0,3,67,73,18
0,3,17,14,11332
0,3,61,29,9
0,3,102,37,70
0,3,110,50,666
0,3,108,40,2612
0,3,75,73,22
0,3,73,45,40
0,3,60,31,7
0,3,68,16,22
0,3,79,31,301
0,3,23,18,1812
