day,hour,precinct,criminal,traffic
0,0,44,157,136
0,0,103,75,105
0,0,28,40,4194
0,0,105,78,21
0,0,13,68,34375
0,0,71,101,334
0,0,7,47,26099
0,0,46,96,99
0,0,48,93,27
0,0,19,65,25819
0,0,41,79,44
0,0,14,59,61954
0,0,67,200,32
0,0,17,36,37253
0,0,61,87,31
0,0,102,97,223
0,0,110,68,769
0,0,108,63,4078
0,0,75,219,50
0,0,73,122,99
0,0,60,145,23
0,0,68,43,93
0,0,79,80,599
0,0,23,93,3466
0,0,42,67,29
0,0,115,131,19662
0,0,52,129,41
0,0,122,79,7
0,0,72,81,157
0,0,109,111,97
0,0,24,66,8817
0,0,81,72,1045
0,0,90,108,7913
0,0,112,65,613
0,0,43,169,65
0,0,84,66,7774
0,0,47,138,29
0,0,77,82,1146
0,0,101,56,5
0,0,83,102,433
0,0,113,108,29352
0,0,120,112,40
0,0,70,90,392
0,0,69,59,9
0,0,66,58,39
0,0,114,144,5451
0,0,76,29,1180
0,0,63,59,54
0,0,45,67,35
0,0,106,97,248
0,0,10,32,23471
0,0,78,39,3261
0,0,6,52,76190
0,0,5,24,15477
0,0,94,60,8430
0,0,40,134,359
0,0,34,122,826
0,0,32,88,762
0,0,50,44,70
0,0,25,89,2344
0,0,100,28,10
0,0,18,65,92546
0,0,20,40,14968
0,0,111,63,42
0,0,107,69,140
0,0,30,49,1695
0,0,49,102,31
0,0,88,54,3373
0,0,26,33,3535
0,0,123,50,15
0,0,9,94,39958
0,0,104,95,134
0,0,33,65,1185
0,0,62,99,46
0,0,22,4,1460
0,0,1,10,1000
0,1,44,101,77
0,1,103,56,51
0,1,28,25,2823
0,1,105,69,10
0,1,13,26,19792
0,1,71,59,321
0,1,7,32,17232
0,1,46,82,100
0,1,48,81,29
0,1,19,48,13785
0,1,41,51,40
0,1,14,63,34074
0,1,67,107,41
0,1,17,13,23182
0,1,61,44,42
0,1,102,73,125
0,1,110,74,803
0,1,108,46,3283
0,1,75,143,58
0,1,73,72,106
0,1,60,57,6
0,1,68,27,80
0,1,79,48,453
0,1,23,58,2067
0,1,42,57,16
0,1,115,99,3100
0,1,52,93,52
0,1,122,37,9
0,1,1,30,8682
0,1,72,49,145
0,1,109,49,86
0,1,24,34,5181
0,1,81,50,895
0,1,90,72,5736
0,1,112,27,366
0,1,43,116,43
0,1,84,20,4447
0,1,47,89,22
0,1,77,49,920
0,1,101,39,6
0,1,83,58,395
0,1,113,87,12127
0,1,120,81,42
0,1,70,67,303
0,1,69,49,12
0,1,66,35,55
0,1,114,71,4688
0,1,76,14,684
0,1,63,44,31
0,1,45,40,18
0,1,106,56,100
0,1,10,39,14343
0,1,78,20,2092
0,1,6,54,54304
0,1,5,23,9176
0,1,94,37,5990
0,1,40,112,254
0,1,34,62,421
0,1,32,49,485
0,1,50,35,47
0,1,25,40,1692
0,1,100,11,1
0,1,18,41,54906
0,1,20,19,9035
0,1,111,18,36
0,1,107,44,101
0,1,30,37,1141
0,1,49,57,24
0,1,88,29,1886
0,1,26,22,2270
0,1,123,20,3
0,1,9,37,27031
0,1,104,56,104
0,1,33,33,675
0,1,62,45,18
0,1,22,3,666
0,2,44,86,47
0,2,103,41,35
0,2,28,22,1912
0,2,105,60,16
0,2,13,37,11861
0,2,71,46,156
0,2,7,24,12368
0,2,46,81,47
0,2,48,65,14
0,2,19,31,8716
0,2,41,28,43
0,2,14,32,21496
0,2,67,64,42
0,2,17,19,14829
0,2,61,25,38
0,2,102,52,40
0,2,110,60,797
0,2,108,47,2600
0,2,75,110,44
0,2,73,58,61
0,2,60,47,7
0,2,68,24,74
0,2,79,49,290
0,2,23,37,1278
0,2,42,44,14
0,2,115,100,1139
0,2,52,58,16
0,2,122,34,3
0,2,1,25,4879
0,2,72,37,86
0,2,109,39,101
0,2,24,22,3140
0,2,81,36,693
0,2,90,38,4555
0,2,112,16,290
0,2,43,87,46
0,2,84,24,2344
0,2,47,65,23
0,2,77,45,527
0,2,101,24,8
0,2,83,64,277
0,2,113,67,3822
0,2,120,59,32
0,2,70,61,241
0,2,69,33,10
0,2,66,29,36
0,2,114,74,3592
0,2,76,11,425
0,2,63,37,42
0,2,45,40,8
0,2,106,43,70
0,2,10,28,10755
0,2,78,25,1280
0,2,6,36,42912
0,2,5,22,5806
0,2,94,20,4409
0,2,40,66,192
0,2,34,60,226
0,2,32,30,368
0,2,50,21,26
0,2,25,32,1042
0,2,100,15,2
0,2,18,35,34178
0,2,20,14,4808
0,2,111,14,4
0,2,107,31,41
0,2,30,31,809
0,2,49,41,20
0,2,88,12,1257
0,2,26,11,1456
0,2,123,18,1
0,2,9,33,19163
0,2,104,50,47
0,2,33,37,453
0,2,62,34,10
0,2,22,1,322
0,3,44,64,59
0,3,103,30,36
0,3,28,18,1401
0,3,105,30,9
0,3,13,21,7721
0,3,71,41,151
0,3,7,17,8579
0,3,46,40,67
0,3,48,55,25
0,3,19,22,6201
0,3,41,39,44
0,3,14,29,11522
0,3,67,73,21
0,3,17,14,10020
0,3,61,29,10
0,3,102,37,57
0,3,110,50,574
0,3,108,40,2038
0,3,75,73,23
0,3,73,45,32
0,3,60,31,7
0,3,68,16,24
0,3,79,31,196
0,3,23,18,1047
0,3,42,35,10
0,3,115,96,1015
0,3,52,47,39
0,3,122,17,6
0,3,1,18,3032
0,3,72,30,79
0,3,109,33,69
0,3,24,18,2342
0,3,81,37,536
0,3,90,22,3290
0,3,112,14,172
0,3,43,56,23
0,3,84,14,1371
0,3,47,53,19
0,3,77,33,306
0,3,101,17,16
0,3,83,66,223
0,3,113,50,1661
0,3,120,39,56
0,3,70,36,132
0,3,69,23,13
0,3,66,31,40
0,3,114,60,2544
0,3,76,12,308
0,3,63,25,20
0,3,45,31,12
0,3,106,47,37
0,3,10,34,6831
0,3,78,12,633
0,3,6,28,32435
0,3,5,16,3797
0,3,94,17,3032
0,3,40,52,134
0,3,34,44,132
0,3,32,33,244
0,3,50,26,9
0,3,25,23,885
0,3,18,34,24791
0,3,20,12,3079
0,3,111,11,19
0,3,107,28,41
0,3,30,31,536
0,3,49,20,14
0,3,88,12,768
0,3,26,16,1111
0,3,123,8,5
0,3,9,16,13464
0,3,104,31,71
0,3,33,26,258
0,3,62,34,22
0,3,22,2,263
0,3,100,10,1000
0,4,44,63,80
0,4,103,49,31
0,4,28,13,1902
0,4,105,31,16
0,4,13,28,9290
0,4,71,49,152
0,4,7,22,6958
0,4,46,45,79
0,4,48,35,19
0,4,19,19,10713
0,4,41,28,49
0,4,14,45,15210
0,4,67,54,19
0,4,17,12,11792
0,4,61,28,22
0,4,102,50,68
0,4,110,62,808
0,4,108,41,2986
0,4,75,60,14
0,4,73,32,33
0,4,60,18,12
0,4,68,10,32
0,4,79,31,166
0,4,23,18,1514
0,4,42,18,26
0,4,115,115,1682
0,4,52,54,15
0,4,1,16,4265
0,4,72,42,41
0,4,109,29,51
0,4,24,7,3532
0,4,81,23,337
0,4,90,32,2804
0,4,112,11,179
0,4,43,53,43
0,4,84,13,1772
0,4,47,58,38
0,4,77,32,293
0,4,83,38,155
0,4,113,39,1827
0,4,120,39,55
