day,hour,precinct,criminal,traffic
0,0,44,157,174
0,0,103,75,116
0,0,28,40,1688
0,0,105,78,20
0,0,13,68,61824
0,0,71,101,314
0,0,7,47,7787
0,0,46,96,95
0,0,48,93,30
0,0,19,65,20256
0,0,41,79,35
0,0,14,59,47303
0,0,67,200,35
0,0,17,36,40906
0,0,61,87,33
0,0,102,97,218
0,0,110,68,708
0,0,108,63,4577
0,0,75,219,50
0,0,73,122,108
0,0,60,145,19
0,0,68,43,67
0,0,79,80,1173
0,0,23,93,6938
0,0,42,67,31
0,0,115,131,19789
0,0,52,129,42
0,0,122,79,7
0,0,72,81,210
0,0,109,111,113
0,0,24,66,7820
0,0,81,72,1061
0,0,90,108,11744
0,0,112,65,554
0,0,43,169,61
0,0,84,66,5697
0,0,47,138,30
0,0,77,82,1197
0,0,101,56,5
0,0,83,102,738
0,0,113,108,29458
0,0,120,112,46
0,0,70,90,431
0,0,69,59,9
0,0,66,58,43
0,0,114,144,6050
0,0,76,29,1077
0,0,63,59,42
0,0,45,67,27
0,0,106,97,147
0,0,10,32,28634
0,0,78,39,3584
0,0,6,52,72072
0,0,5,24,27531
0,0,94,60,4353
0,0,40,134,493
0,0,34,122,739
0,0,32,88,1201
0,0,50,44,74
0,0,25,89,2087
0,0,100,28,10
0,0,18,65,83739
0,0,20,40,14985
0,0,111,63,48
0,0,107,69,120
0,0,30,49,1876
0,0,49,102,36
0,0,88,54,2728
0,0,26,33,4475
0,0,123,50,15
0,0,9,94,32603
0,0,104,95,145
0,0,33,65,1076
0,0,62,99,49
0,0,22,4,7207
0,0,1,10,1000
0,1,44,101,141
0,1,103,56,62
0,1,28,25,1069
0,1,105,69,12
0,1,13,26,37174
0,1,71,59,320
0,1,7,32,5082
0,1,46,82,108
0,1,48,81,33
0,1,19,48,11158
0,1,41,51,33
0,1,14,63,26049
0,1,67,107,58
0,1,17,13,24687
0,1,61,44,40
0,1,102,73,149
0,1,110,74,717
0,1,108,46,3829
0,1,75,143,57
0,1,73,72,109
0,1,60,57,5
0,1,68,27,65
0,1,79,48,896
0,1,23,58,3849
0,1,42,57,27
0,1,115,99,3264
0,1,52,93,48
0,1,122,37,8
0,1,1,30,11518
0,1,72,49,169
0,1,109,49,88
0,1,24,34,4543
0,1,81,50,891
0,1,90,72,8515
0,1,112,27,288
0,1,43,116,40
0,1,84,20,3395
0,1,47,89,21
0,1,77,49,952
0,1,101,39,6
0,1,83,58,588
0,1,113,87,12155
0,1,120,81,41
0,1,70,67,329
0,1,69,49,22
0,1,66,35,61
0,1,114,71,5064
0,1,76,14,639
0,1,63,44,26
0,1,45,40,20
0,1,106,56,67
0,1,10,39,17047
0,1,78,20,2214
0,1,6,54,51129
0,1,5,23,16650
0,1,94,37,2998
0,1,40,112,304
0,1,34,62,376
0,1,32,49,826
0,1,50,35,49
0,1,25,40,1576
0,1,100,11,1
0,1,18,41,49937
0,1,20,19,9102
0,1,111,18,34
0,1,107,44,80
0,1,30,37,1210
0,1,49,57,26
0,1,88,29,1557
0,1,26,22,3020
0,1,123,20,5
0,1,9,37,22699
0,1,104,56,108
0,1,33,33,625
0,1,62,45,19
0,1,22,3,3362
0,2,44,86,57
0,2,103,41,33
0,2,28,22,718
0,2,105,60,8
0,2,13,37,23758
0,2,71,46,149
0,2,7,24,3708
0,2,46,81,47
0,2,48,65,17
0,2,19,31,6818
0,2,41,28,27
0,2,14,32,15753
0,2,67,64,33
0,2,17,19,15631
0,2,61,25,36
0,2,102,52,54
0,2,110,60,587
0,2,108,47,3050
0,2,75,110,44
0,2,73,58,71
0,2,60,47,4
0,2,68,24,61
0,2,79,49,563
0,2,23,37,2493
0,2,42,44,25
0,2,115,100,1390
0,2,52,58,18
0,2,122,34,3
0,2,1,25,6733
0,2,72,37,101
0,2,109,39,102
0,2,24,22,2892
0,2,81,36,703
0,2,90,38,6698
0,2,112,16,249
0,2,43,87,41
0,2,84,24,1964
0,2,47,65,24
0,2,77,45,546
0,2,101,24,8
0,2,83,64,447
0,2,113,67,3837
0,2,120,59,33
0,2,70,61,259
0,2,69,33,14
0,2,66,29,44
0,2,114,74,3933
0,2,76,11,390
0,2,63,37,46
0,2,45,40,8
0,2,106,43,53
0,2,10,28,13266
0,2,78,25,1335
0,2,6,36,40515
0,2,5,22,10795
0,2,94,20,2061
0,2,40,66,254
0,2,34,60,180
0,2,32,30,570
0,2,50,21,29
0,2,25,32,914
0,2,100,15,2
0,2,18,35,31070
0,2,20,14,4790
0,2,111,14,4
0,2,107,31,39
0,2,30,31,868
0,2,49,41,20
0,2,88,12,1105
0,2,26,11,2016
0,2,123,18,1
0,2,9,33,16482
0,2,104,50,43
0,2,33,37,424
0,2,62,34,18
0,2,22,1,1733
0,3,44,64,97
0,3,103,30,20
0,3,28,18,547
0,3,105,30,8
0,3,13,21,15543
0,3,71,41,132
0,3,7,17,2322
0,3,46,40,66
0,3,48,55,17
0,3,19,22,4669
0,3,41,39,34
0,3,14,29,9503
0,3,67,73,16
0,3,17,14,10424
0,3,61,29,10
0,3,102,37,66
0,3,110,50,425
0,3,108,40,2290
0,3,75,73,21
0,3,73,45,45
0,3,60,31,6
0,3,68,16,20
0,3,79,31,420
0,3,23,18,2151
0,3,42,35,12
0,3,115,96,1202
0,3,52,47,38
0,3,122,17,6
0,3,1,18,4443
0,3,72,30,84
0,3,109,33,69
0,3,24,18,2187
0,3,81,37,530
0,3,90,22,4784
0,3,112,14,140
0,3,43,56,18
0,3,84,14,1192
0,3,47,53,19
0,3,77,33,321
0,3,101,17,16
0,3,83,66,298
0,3,113,50,1666
0,3,120,39,57
0,3,70,36,163
0,3,69,23,15
0,3,66,31,32
0,3,114,60,2938
0,3,76,12,290
0,3,63,25,22
0,3,45,31,12
0,3,106,47,29
0,3,10,34,6798
0,3,78,12,689
0,3,6,28,30605
0,3,5,16,7031
0,3,94,17,1400
0,3,40,52,168
0,3,34,44,113
0,3,32,33,400
0,3,50,26,10
0,3,25,23,723
0,3,18,34,22775
0,3,20,12,3054
0,3,111,11,19
0,3,107,28,55
0,3,30,31,564
0,3,49,20,15
0,3,88,12,677
0,3,26,16,1471
0,3,123,8,5
0,3,9,16,12176
0,3,104,31,68
0,3,33,26,241
0,3,62,34,24
0,3,22,2,1292
0,3,100,10,1000
0,4,44,63,116
0,4,103,49,40
0,4,28,13,682
0,4,105,31,16
0,4,13,28,16995
0,4,71,49,149
0,4,7,22,2037
0,4,46,45,71
0,4,48,35,21
0,4,19,19,7850
0,4,41,28,42
0,4,14,45,12170
0,4,67,54,12
0,4,17,12,12481
0,4,61,28,26
0,4,102,50,87
0,4,110,62,516
0,4,108,41,3338
0,4,75,60,14
0,4,73,32,39
0,4,60,18,5
0,4,68,10,31
0,4,79,31,293
0,4,23,18,3778
0,4,42,18,31
0,4,115,115,2026
0,4,52,54,22
0,4,1,16,5316
