day,hour,precinct,criminal,traffic
0,0,44,157,153
0,0,103,75,102
0,0,28,40,2807
0,0,105,78,20
0,0,13,68,51070
0,0,71,101,373
0,0,7,47,14428
0,0,46,96,93
0,0,48,93,20
0,0,19,65,23565
0,0,41,79,30
0,0,14,59,73555
0,0,67,200,33
0,0,17,36,52160
0,0,61,87,27
0,0,102,97,263
0,0,110,68,922
0,0,108,63,4953
0,0,75,219,59
0,0,73,122,104
0,0,60,145,24
0,0,68,43,81
0,0,79,80,599
0,0,23,93,5197
0,0,42,67,36
0,0,115,131,19853
0,0,52,129,45
0,0,122,79,7
0,0,72,81,204
0,0,109,111,112
0,0,24,66,11690
0,0,81,72,894
0,0,90,108,10853
0,0,112,65,415
0,0,43,169,68
0,0,84,66,5908
0,0,47,138,30
0,0,77,82,942
0,0,101,56,5
0,0,83,102,806
0,0,113,108,29529
0,0,120,112,40
0,0,70,90,338
0,0,69,59,9
0,0,66,58,53
0,0,114,144,5403
0,0,76,29,1000
0,0,63,59,59
0,0,45,67,35
0,0,106,97,49
0,0,10,32,28636
0,0,78,39,3955
0,0,6,52,63675
0,0,5,24,22605
0,0,94,60,4931
0,0,40,134,410
0,0,34,122,781
0,0,32,88,1107
0,0,50,44,73
0,0,25,89,2049
0,0,100,28,10
0,0,18,65,55744
0,0,20,40,15501
0,0,111,63,48
0,0,107,69,118
0,0,30,49,1447
0,0,49,102,27
0,0,88,54,2892
0,0,26,33,3814
0,0,123,50,15
0,0,9,94,34901
0,0,104,95,162
0,0,33,65,1276
0,0,62,99,44
0,0,22,4,4634
0,0,1,10,1000
0,1,44,101,94
0,1,103,56,36
0,1,28,25,1898
0,1,105,69,9
0,1,13,26,29334
0,1,71,59,407
0,1,7,32,10056
0,1,46,82,98
0,1,48,81,24
0,1,19,48,12680
0,1,41,51,32
0,1,14,63,42065
0,1,67,107,51
0,1,17,13,31349
0,1,61,44,36
0,1,102,73,172
0,1,110,74,860
0,1,108,46,4136
0,1,75,143,66
0,1,73,72,100
0,1,60,57,7
0,1,68,27,77
0,1,79,48,502
0,1,23,58,3057
0,1,42,57,24
0,1,115,99,3332
0,1,52,93,53
0,1,122,37,9
0,1,1,30,13260
0,1,72,49,153
0,1,109,49,89
0,1,24,34,7018
0,1,81,50,793
0,1,90,72,7899
0,1,112,27,253
0,1,43,116,45
0,1,84,20,3376
0,1,47,89,27
0,1,77,49,750
0,1,101,39,6
0,1,83,58,628
0,1,113,87,12176
0,1,120,81,40
0,1,70,67,216
0,1,69,49,19
0,1,66,35,62
0,1,114,71,4484
0,1,76,14,582
0,1,63,44,41
0,1,45,40,19
0,1,106,56,32
0,1,10,39,18506
0,1,78,20,2538
0,1,6,54,45182
0,1,5,23,13268
0,1,94,37,3458
0,1,40,112,301
0,1,34,62,401
0,1,32,49,760
0,1,50,35,52
0,1,25,40,1470
0,1,100,11,1
0,1,18,41,33748
0,1,20,19,8756
0,1,111,18,34
0,1,107,44,96
0,1,30,37,927
0,1,49,57,18
0,1,88,29,1638
0,1,26,22,2564
0,1,123,20,5
0,1,9,37,24397
0,1,104,56,122
0,1,33,33,718
0,1,62,45,20
0,1,22,3,1929
0,2,44,86,54
0,2,103,41,41
0,2,28,22,1116
0,2,105,60,11
0,2,13,37,18073
0,2,71,46,194
0,2,7,24,7253
0,2,46,81,48
0,2,48,65,11
0,2,19,31,7858
0,2,41,28,26
0,2,14,32,26332
0,2,67,64,44
0,2,17,19,18675
0,2,61,25,37
0,2,102,52,60
0,2,110,60,801
0,2,108,47,3278
0,2,75,110,50
0,2,73,58,65
0,2,60,47,4
0,2,68,24,65
0,2,79,49,317
0,2,23,37,1974
0,2,42,44,25
0,2,115,100,1350
0,2,52,58,16
0,2,122,34,3
0,2,1,25,7640
0,2,72,37,95
0,2,109,39,102
0,2,24,22,4230
0,2,81,36,627
0,2,90,38,6199
0,2,112,16,191
0,2,43,87,41
0,2,84,24,1936
0,2,47,65,23
0,2,77,45,409
0,2,101,24,8
0,2,83,64,482
0,2,113,67,3844
0,2,120,59,32
0,2,70,61,208
0,2,69,33,9
0,2,66,29,56
0,2,114,74,3506
0,2,76,11,331
0,2,63,37,50
0,2,45,40,8
0,2,106,43,39
0,2,10,28,15113
0,2,78,25,1555
0,2,6,36,34909
0,2,5,22,8990
0,2,94,20,2418
0,2,40,66,223
0,2,34,60,206
0,2,32,30,533
0,2,50,21,26
0,2,25,32,936
0,2,100,15,2
0,2,18,35,22777
0,2,20,14,4480
0,2,111,14,4
0,2,107,31,30
0,2,30,31,705
0,2,49,41,22
0,2,88,12,1104
0,2,26,11,1723
0,2,123,18,1
0,2,9,33,17759
0,2,104,50,49
0,2,33,37,498
0,2,62,34,12
0,2,22,1,893
0,3,44,64,83
0,3,103,30,13
0,3,28,18,832
0,3,105,30,5
0,3,13,21,11607
0,3,71,41,174
0,3,7,17,4828
0,3,46,40,67
0,3,48,55,10
0,3,19,22,5485
0,3,41,39,33
0,3,14,29,14702
0,3,67,73,20
0,3,17,14,12207
0,3,61,29,10
0,3,102,37,61
0,3,110,50,567
0,3,108,40,2568
0,3,75,73,24
0,3,73,45,39
0,3,60,31,6
0,3,68,16,23
0,3,79,31,197
0,3,23,18,1619
0,3,42,35,14
0,3,115,96,1185
0,3,52,47,39
0,3,122,17,6
0,3,1,18,4956
0,3,72,30,82
0,3,109,33,69
0,3,24,18,3032
0,3,81,37,483
0,3,90,22,4530
0,3,112,14,119
0,3,43,56,26
0,3,84,14,1186
0,3,47,53,18
0,3,77,33,230
0,3,101,17,16
0,3,83,66,325
0,3,113,50,1669
0,3,120,39,56
0,3,70,36,106
0,3,69,23,14
0,3,66,31,45
0,3,114,60,2549
0,3,76,12,241
0,3,63,25,25
0,3,45,31,11
0,3,106,47,23
0,3,10,34,11129
0,3,78,12,796
0,3,6,28,25247
0,3,5,16,5873
0,3,94,17,1610
0,3,40,52,152
0,3,34,44,122
0,3,32,33,367
0,3,50,26,10
0,3,25,23,788
0,3,18,34,17894
0,3,20,12,2973
0,3,111,11,22
0,3,107,28,68
0,3,30,31,449
0,3,49,20,14
0,3,88,12,688
0,3,26,16,1307
0,3,123,8,5
0,3,9,16,13019
0,3,104,31,78
0,3,33,26,285
0,3,62,34,22
0,3,22,2,655
0,3,100,10,1000
0,4,44,63,94
0,4,103,49,27
0,4,28,13,1061
0,4,105,31,14
0,4,13,28,13227
0,4,71,49,185
