day,hour,precinct,criminal,traffic
0,0,44,157,163
0,0,103,75,118
0,0,28,40,2799
0,0,105,78,20
0,0,13,68,41450
0,0,71,101,453
0,0,7,47,9707
0,0,46,96,88
0,0,48,93,18
0,0,19,65,24410
0,0,41,79,28
0,0,14,59,80207
0,0,67,200,32
0,0,17,36,47921
0,0,61,87,28
0,0,102,97,262
0,0,110,68,923
0,0,108,63,4972
0,0,75,219,58
0,0,73,122,103
0,0,60,145,25
0,0,68,43,94
0,0,79,80,738
0,0,23,93,5915
0,0,42,67,27
0,0,115,131,19655
0,0,52,129,35
0,0,122,79,7
0,0,72,81,191
0,0,109,111,112
0,0,24,66,10492
0,0,81,72,867
0,0,90,108,11461
0,0,112,65,505
0,0,43,169,65
0,0,84,66,5535
0,0,47,138,29
0,0,77,82,877
0,0,101,56,5
0,0,83,102,771
0,0,113,108,29530
0,0,120,112,40
0,0,70,90,354
0,0,69,59,8
0,0,66,58,56
0,0,114,144,5390
0,0,76,29,1163
0,0,63,59,53
0,0,45,67,28
0,0,106,97,50
0,0,10,32,28162
0,0,78,39,3924
0,0,6,52,63893
0,0,5,24,24252
0,0,94,60,5046
0,0,40,134,362
0,0,34,122,808
0,0,32,88,1070
0,0,50,44,75
0,0,25,89,2115
0,0,100,28,10
0,0,18,65,59157
0,0,20,40,16363
0,0,111,63,45
0,0,107,69,121
0,0,30,49,1555
0,0,49,102,49
0,0,88,54,2865
0,0,26,33,3463
0,0,123,50,15
0,0,9,94,42384
0,0,104,95,168
0,0,33,65,1252
0,0,62,99,42
0,0,22,4,3621
0,0,1,10,1000
0,1,44,101,91
0,1,103,56,49
0,1,28,25,1847
0,1,105,69,9
0,1,13,26,23915
0,1,71,59,420
0,1,7,32,6810
0,1,46,82,98
0,1,48,81,21
0,1,19,48,12708
0,1,41,51,32
0,1,14,63,45367
0,1,67,107,53
0,1,17,13,28934
0,1,61,44,39
0,1,102,73,188
0,1,110,74,992
0,1,108,46,4147
0,1,75,143,64
0,1,73,72,107
0,1,60,57,7
0,1,68,27,78
0,1,79,48,583
0,1,23,58,3494
0,1,42,57,22
0,1,115,99,3105
0,1,52,93,49
0,1,122,37,9
0,1,1,30,12815
0,1,72,49,152
0,1,109,49,88
0,1,24,34,6350
0,1,81,50,741
0,1,90,72,8374
0,1,112,27,252
0,1,43,116,44
0,1,84,20,3255
0,1,47,89,25
0,1,77,49,728
0,1,101,39,6
0,1,83,58,638
0,1,113,87,12176
0,1,120,81,40
0,1,70,67,237
0,1,69,49,19
0,1,66,35,70
0,1,114,71,4502
0,1,76,14,671
0,1,63,44,37
0,1,45,40,19
0,1,106,56,33
0,1,10,39,18207
0,1,78,20,2469
0,1,6,54,45271
0,1,5,23,14138
0,1,94,37,3529
0,1,40,112,270
0,1,34,62,413
0,1,32,49,741
0,1,50,35,53
0,1,25,40,1543
0,1,100,11,1
0,1,18,41,35664
0,1,20,19,9512
0,1,111,18,34
0,1,107,44,96
0,1,30,37,1024
0,1,49,57,23
0,1,88,29,1556
0,1,26,22,2330
0,1,123,20,5
0,1,9,37,29569
0,1,104,56,122
0,1,33,33,710
0,1,62,45,20
0,1,22,3,1631
0,2,44,86,56
0,2,103,41,41
0,2,28,22,1177
0,2,105,60,11
0,2,13,37,14598
0,2,71,46,212
0,2,7,24,4959
0,2,46,81,47
0,2,48,65,10
0,2,19,31,7822
0,2,41,28,24
0,2,14,32,28479
0,2,67,64,44
0,2,17,19,17333
0,2,61,25,37
0,2,102,52,61
0,2,110,60,977
0,2,108,47,3309
0,2,75,110,48
0,2,73,58,64
0,2,60,47,6
0,2,68,24,66
0,2,79,49,396
0,2,23,37,2263
0,2,42,44,24
0,2,115,100,1106
0,2,52,58,16
0,2,122,34,3
0,2,1,25,7485
0,2,72,37,95
0,2,109,39,102
0,2,24,22,3883
0,2,81,36,613
0,2,90,38,6590
0,2,112,16,223
0,2,43,87,42
0,2,84,24,1802
0,2,47,65,22
0,2,77,45,370
0,2,101,24,8
0,2,83,64,459
0,2,113,67,3844
0,2,120,59,32
0,2,70,61,222
0,2,69,33,8
0,2,66,29,59
0,2,114,74,3472
0,2,76,11,415
0,2,63,37,48
0,2,45,40,8
0,2,106,43,44
0,2,10,28,14921
0,2,78,25,1520
0,2,6,36,34989
0,2,5,22,9421
0,2,94,20,2465
0,2,40,66,193
0,2,34,60,213
0,2,32,30,514
0,2,50,21,29
0,2,25,32,957
0,2,100,15,2
0,2,18,35,23776
0,2,20,14,4873
0,2,111,14,4
0,2,107,31,29
0,2,30,31,745
0,2,49,41,23
0,2,88,12,1056
0,2,26,11,1583
0,2,123,18,1
0,2,9,33,21140
0,2,104,50,50
0,2,33,37,490
