day,hour,precinct,criminal,traffic
0,0,44,157,149
0,0,103,75,111
0,0,28,40,2124
0,0,105,78,20
0,0,13,68,40585
0,0,71,101,503
0,0,7,47,4729
0,0,46,96,99
0,0,48,93,10
0,0,19,65,23814
0,0,41,79,29
0,0,14,59,87817
0,0,67,200,42
0,0,17,36,50319
0,0,61,87,28
0,0,102,97,242
0,0,110,68,852
0,0,108,63,4737
0,0,75,219,54
0,0,73,122,116
0,0,60,145,25
0,0,68,43,95
0,0,79,80,689
0,0,23,93,5068
0,0,42,67,33
0,0,115,131,19815
0,0,52,129,35
0,0,122,79,7
0,0,72,81,216
0,0,109,111,112
0,0,24,66,9326
0,0,81,72,1165
0,0,90,108,11829
0,0,112,65,489
0,0,43,169,65
0,0,84,66,5699
0,0,47,138,30
0,0,77,82,897
0,0,101,56,5
0,0,83,102,737
0,0,113,108,29521
0,0,120,112,40
0,0,70,90,344
0,0,69,59,8
0,0,66,58,75
0,0,114,144,5426
0,0,76,29,1221
0,0,63,59,50
0,0,45,67,26
0,0,106,97,69
0,0,10,32,20030
0,0,78,39,3679
0,0,6,52,73599
0,0,5,24,23819
0,0,94,60,4487
0,0,40,134,369
0,0,34,122,790
0,0,32,88,1116
0,0,50,44,73
0,0,25,89,2176
0,0,100,28,10
0,0,18,65,50622
0,0,20,40,18582
0,0,111,63,46
0,0,107,69,128
0,0,30,49,1601
0,0,49,102,48
0,0,88,54,2876
0,0,26,33,3840
0,0,123,50,15
0,0,9,94,45930
0,0,104,95,159
0,0,33,65,1303
0,0,62,99,42
0,0,22,4,4598
0,0,1,10,1000
0,1,44,101,96
0,1,103,56,69
0,1,28,25,1471
0,1,105,69,10
0,1,13,26,23437
0,1,71,59,455
0,1,7,32,3181
0,1,46,82,86
0,1,48,81,19
0,1,19,48,12630
0,1,41,51,31
0,1,14,63,48695
0,1,67,107,51
0,1,17,13,30651
0,1,61,44,35
0,1,102,73,152
0,1,110,74,881
0,1,108,46,3924
0,1,75,143,60
0,1,73,72,118
0,1,60,57,7
0,1,68,27,82
0,1,79,48,558
0,1,23,58,2968
0,1,42,57,29
0,1,115,99,3282
0,1,52,93,51
0,1,122,37,9
0,1,1,30,12184
0,1,72,49,156
0,1,109,49,87
0,1,24,34,5630
0,1,81,50,1020
0,1,90,72,8608
0,1,112,27,269
0,1,43,116,42
0,1,84,20,3294
0,1,47,89,27
0,1,77,49,708
0,1,101,39,6
0,1,83,58,587
0,1,113,87,12173
0,1,120,81,40
0,1,70,67,251
0,1,69,49,18
0,1,66,35,77
0,1,114,71,4485
0,1,76,14,726
0,1,63,44,42
0,1,45,40,18
0,1,106,56,36
0,1,10,39,12148
0,1,78,20,2307
0,1,6,54,52321
0,1,5,23,14345
0,1,94,37,3133
0,1,40,112,259
0,1,34,62,412
0,1,32,49,753
0,1,50,35,51
0,1,25,40,1580
0,1,100,11,1
0,1,18,41,31662
0,1,20,19,10712
0,1,111,18,34
0,1,107,44,88
0,1,30,37,1070
0,1,49,57,26
0,1,88,29,1639
0,1,26,22,2464
0,1,123,20,5
0,1,9,37,31857
0,1,104,56,112
0,1,33,33,732
0,1,62,45,20
0,1,22,3,2188
0,2,44,86,58
0,2,103,41,52
0,2,28,22,930
0,2,105,60,13
0,2,13,37,14005
0,2,71,46,234
0,2,7,24,2472
0,2,46,81,48
0,2,48,65,8
0,2,19,31,7843
0,2,41,28,29
0,2,14,32,30541
0,2,67,64,48
0,2,17,19,18459
0,2,61,25,37
0,2,102,52,54
0,2,110,60,840
0,2,108,47,3129
0,2,75,110,47
0,2,73,58,71
0,2,60,47,7
0,2,68,24,74
0,2,79,49,345
0,2,23,37,1974
0,2,42,44,20
0,2,115,100,1274
0,2,52,58,15
0,2,122,34,3
0,2,1,25,7112
0,2,72,37,102
0,2,109,39,102
0,2,24,22,3579
0,2,81,36,806
0,2,90,38,6790
0,2,112,16,227
0,2,43,87,40
0,2,84,24,1861
0,2,47,65,23
0,2,77,45,391
0,2,101,24,8
0,2,83,64,429
0,2,113,67,3839
0,2,120,59,32
0,2,70,61,216
0,2,69,33,11
0,2,66,29,54
0,2,114,74,3472
0,2,76,11,435
0,2,63,37,52
0,2,45,40,8
0,2,106,43,38
0,2,10,28,9186
0,2,78,25,1444
0,2,6,36,41342
0,2,5,22,9626
0,2,94,20,2154
0,2,40,66,192
0,2,34,60,212
0,2,32,30,515
0,2,50,21,27
0,2,25,32,988
0,2,100,15,2
0,2,18,35,21478
0,2,20,14,5434
0,2,111,14,4
0,2,107,31,28
0,2,30,31,744
0,2,49,41,23
0,2,88,12,1034
0,2,26,11,1611
0,2,123,18,1
0,2,9,33,22912
0,2,104,50,46
0,2,33,37,508
0,2,62,34,15
0,2,22,1,1032
0,3,44,64,85
0,3,103,30,47
0,3,28,18,700
0,3,105,30,5
0,3,13,21,9141
0,3,71,41,194
0,3,7,17,1643
0,3,46,40,69
0,3,48,55,12
0,3,19,22,5490
0,3,41,39,33
0,3,14,29,17630
0,3,67,73,22
0,3,17,14,12141
0,3,61,29,9
0,3,102,37,62
0,3,110,50,612
0,3,108,40,2415
0,3,75,73,24
0,3,73,45,46
0,3,60,31,7
0,3,68,16,25
0,3,79,31,219
0,3,23,18,1602
0,3,42,35,10
0,3,115,96,1107
0,3,52,47,35
0,3,122,17,6
0,3,1,18,4597
0,3,72,30,88
0,3,109,33,69
0,3,24,18,2736
0,3,81,37,597
0,3,90,22,4867
0,3,112,14,128
0,3,43,56,26
0,3,84,14,1134
0,3,47,53,18
0,3,77,33,214
0,3,101,17,16
0,3,83,66,304
0,3,113,50,1668
0,3,120,39,57
0,3,70,36,111
0,3,69,23,14
0,3,66,31,48
0,3,114,60,2521
0,3,76,12,314
0,3,63,25,25
0,3,45,31,11
0,3,106,47,22
0,3,10,34,5362
0,3,78,12,739
0,3,6,28,31133
0,3,5,16,6246
0,3,94,17,1458
0,3,40,52,128
0,3,34,44,121
0,3,32,33,368
0,3,50,26,10
0,3,25,23,835
0,3,18,34,16885
0,3,20,12,3494
0,3,111,11,22
0,3,107,28,35
0,3,30,31,488
0,3,49,20,15
0,3,88,12,664
0,3,26,16,1171
0,3,123,8,5
0,3,9,16,16496
0,3,104,31,77
0,3,33,26,291
0,3,62,34,23
0,3,22,2,766
0,3,100,10,1000
0,4,44,63,97
0,4,103,49,48
0,4,28,13,853
0,4,105,31,14
0,4,13,28,10534
0,4,71,49,213
0,4,7,22,1407
0,4,46,45,63
0,4,48,35,19
0,4,19,19,9484
0,4,41,28,34
0,4,14,45,21532
0,4,67,54,23
0,4,17,12,14455
0,4,61,28,26
0,4,102,50,83
0,4,110,62,877
0,4,108,41,3589
0,4,75,60,14
0,4,73,32,37
0,4,60,18,6
0,4,68,10,31
0,4,79,31,180
0,4,23,18,2496
0,4,42,18,25
0,4,115,115,1854
0,4,52,54,18
0,4,1,16,5432
0,4,72,42,53
0,4,109,29,52
0,4,24,7,4049
0,4,81,23,386
0,4,90,32,3952
0,4,112,11,101
0,4,43,53,40
0,4,84,13,1498
