,month,hour,precinct,totalNumber,felony,misdemeanor,violation
0,1,0,44,108,43,63,2
1,1,0,103,59,21,33,5
2,1,0,28,19,7,9,3
3,1,0,105,81,20,54,7
4,1,0,13,51,22,23,6
5,1,0,71,99,31,61,7
6,1,0,7,36,10,23,3
7,1,0,46,80,26,49,5
8,1,0,48,50,14,36,0
9,1,0,19,47,20,27,0
10,1,0,41,53,19,30,4
11,1,0,14,34,12,18,4
12,1,0,67,114,46,59,9
13,1,0,17,21,7,12,2
14,1,0,61,53,28,21,4
15,1,0,102,38,14,22,2
16,1,0,110,47,23,22,2
17,1,0,108,51,18,30,3
18,1,0,75,149,53,90,6
19,1,0,73,91,34,53,4
20,1,0,60,61,24,32,5
21,1,0,68,36,13,21,2
22,1,0,79,45,25,17,3
23,1,0,121,54,20,32,2
24,1,0,23,50,21,25,4
25,1,0,42,45,19,24,2
26,1,0,115,84,27,51,6
27,1,0,52,58,20,36,2
28,1,0,122,45,14,26,5
29,1,0,1,42,15,23,4
30,1,0,72,48,18,28,2
31,1,0,109,54,23,31,0
32,1,0,24,40,14,21,5
33,1,0,81,53,23,26,4
34,1,0,90,68,39,27,2
35,1,0,112,35,11,20,4
36,1,0,43,93,32,52,9
37,1,0,84,35,9,23,3
38,1,0,47,97,43,47,7
39,1,0,77,71,23,43,5
40,1,0,101,43,20,22,1
41,1,0,83,88,30,55,3
42,1,0,113,60,20,36,4
43,1,0,120,59,18,33,8
44,1,0,70,74,17,54,3
45,1,0,69,24,11,12,1
46,1,0,66,48,24,20,4
47,1,0,114,88,29,52,7
48,1,0,76,28,9,16,3
49,1,0,63,40,14,25,1
50,1,0,45,35,13,15,7
51,1,0,106,50,18,23,9
52,1,0,10,29,11,16,2
53,1,0,78,23,8,14,1
54,1,0,6,69,16,50,3
55,1,0,5,21,8,12,1
56,1,0,94,34,4,27,3
57,1,0,40,86,31,53,2
58,1,0,34,53,16,35,2
59,1,0,32,54,23,27,4
60,1,0,50,35,10,22,3
61,1,0,25,52,19,32,1
62,1,0,100,22,12,9,1
63,1,0,18,60,26,29,5
64,1,0,20,29,15,14,0
65,1,0,111,32,9,22,1
66,1,0,107,58,13,39,6
67,1,0,30,30,14,10,6
68,1,0,49,61,18,37,6
69,1,0,88,26,11,11,4
70,1,0,26,13,6,7,0
71,1,0,123,13,2,10,1
72,1,0,9,88,23,63,2
73,1,0,104,86,17,62,7
74,1,0,33,41,19,21,1
75,1,0,62,100,34,54,12
76,1,0,22,0,0,0,0
77,1,1,44,50,14,34,2
78,1,1,103,42,17,21,4
79,1,1,28,16,5,9,2
80,1,1,105,32,13,14,5
81,1,1,13,30,16,12,2
82,1,1,71,28,12,15,1
83,1,1,7,44,19,25,0
84,1,1,46,43,13,28,2
85,1,1,48,49,14,34,1
86,1,1,19,23,7,13,3
87,1,1,41,28,7,18,3
88,1,1,14,42,17,21,4
89,1,1,67,47,21,22,4
90,1,1,17,10,5,3,2
91,1,1,61,27,8,18,1
92,1,1,102,33,13,16,4
93,1,1,110,29,11,15,3
94,1,1,108,37,12,21,4
95,1,1,75,78,29,45,4
96,1,1,73,42,15,22,5
97,1,1,60,25,11,11,3
98,1,1,68,22,6,16,0
99,1,1,79,28,10,17,1
100,1,1,121,53,6,42,5
101,1,1,23,46,7,33,6
102,1,1,42,32,9,22,1
103,1,1,115,47,15,28,4
104,1,1,52,59,23,32,4
105,1,1,122,17,7,6,4
106,1,1,1,24,6,17,1
107,1,1,72,29,11,16,2
108,1,1,109,27,8,18,1
109,1,1,24,20,9,10,1
110,1,1,81,23,13,8,2
111,1,1,90,42,10,28,4
112,1,1,112,14,7,7,0
113,1,1,43,50,21,24,5
114,1,1,84,17,5,12,0
115,1,1,47,53,14,35,4
116,1,1,77,34,12,19,3
117,1,1,101,33,16,13,4
118,1,1,83,30,12,16,2
119,1,1,113,40,14,23,3
120,1,1,120,45,14,24,7
121,1,1,70,39,11,24,4
122,1,1,69,21,10,8,3
123,1,1,66,26,7,19,0
124,1,1,114,56,16,36,4
