,month,hour,precinct,totalNumber,felony,misdemeanor,violation
125,1,1,76,17,6,6,5
126,1,1,63,21,12,6,3
127,1,1,45,24,7,14,3
128,1,1,106,41,12,24,5
129,1,1,10,37,12,24,1
130,1,1,78,13,2,9,2
131,1,1,6,59,21,35,3
132,1,1,5,12,6,6,0
133,1,1,94,31,9,19,3
134,1,1,40,62,14,42,6
135,1,1,34,33,8,22,3
136,1,1,32,29,11,13,5
137,1,1,50,17,7,9,1
138,1,1,25,31,8,18,5
139,1,1,100,12,6,3,3
140,1,1,18,55,22,28,5
141,1,1,20,14,4,8,2
142,1,1,111,5,1,3,1
143,1,1,107,19,9,9,1
144,1,1,30,24,13,11,0
145,1,1,49,31,5,24,2
146,1,1,88,9,4,4,1
147,1,1,26,12,3,9,0
148,1,1,123,14,2,10,2
149,1,1,9,51,21,28,2
150,1,1,104,62,17,43,2
151,1,1,33,24,4,16,4
152,1,1,62,26,4,16,6
153,1,1,22,2,1,1,0
154,1,2,44,48,12,32,4
155,1,2,103,23,10,9,4
156,1,2,28,18,8,9,1
157,1,2,105,24,15,8,1
158,1,2,13,30,8,18,4
159,1,2,71,30,12,16,2
160,1,2,7,33,11,21,1
161,1,2,46,35,11,21,3
162,1,2,48,38,8,30,0
163,1,2,19,24,7,17,0
164,1,2,41,28,9,16,3
165,1,2,14,29,15,12,2
166,1,2,67,31,9,21,1
167,1,2,17,12,6,5,1
168,1,2,61,19,10,8,1
169,1,2,102,38,10,25,3
170,1,2,110,32,13,15,4
171,1,2,108,24,6,17,1
172,1,2,75,71,19,49,3
173,1,2,73,45,19,22,4
174,1,2,60,23,9,12,2
175,1,2,68,23,6,16,1
176,1,2,79,30,16,13,1
177,1,2,121,35,11,21,3
178,1,2,23,30,10,16,4
179,1,2,42,23,6,15,2
180,1,2,115,41,15,20,6
181,1,2,52,33,14,18,1
182,1,2,122,26,6,15,5
183,1,2,1,18,12,6,0
184,1,2,72,29,9,20,0
185,1,2,109,30,11,17,2
186,1,2,24,21,4,13,4
187,1,2,81,29,11,13,5
188,1,2,90,32,9,18,5
189,1,2,112,8,3,5,0
190,1,2,43,43,14,27,2
191,1,2,84,12,5,7,0
192,1,2,47,47,15,27,5
193,1,2,77,29,13,13,3
194,1,2,101,28,11,16,1
195,1,2,83,25,16,8,1
196,1,2,113,26,13,12,1
197,1,2,120,28,7,19,2
198,1,2,70,17,7,9,1
199,1,2,69,12,5,4,3
200,1,2,66,25,7,17,1
201,1,2,114,53,10,38,5
202,1,2,76,5,2,3,0
203,1,2,63,14,4,10,0
204,1,2,45,14,3,10,1
205,1,2,106,26,10,10,6
206,1,2,10,27,12,13,2
207,1,2,78,15,3,10,2
208,1,2,6,43,21,20,2
209,1,2,5,20,8,12,0
210,1,2,94,21,4,17,0
211,1,2,40,68,18,46,4
212,1,2,34,18,4,12,2
213,1,2,32,24,12,11,1
214,1,2,50,10,6,4,0
215,1,2,25,18,6,10,2
216,1,2,100,8,1,6,1
217,1,2,18,34,12,20,2
218,1,2,20,21,4,16,1
219,1,2,111,9,4,5,0
220,1,2,107,20,8,11,1
221,1,2,30,24,6,15,3
222,1,2,49,17,4,12,1
223,1,2,88,13,6,7,0
224,1,2,26,9,5,4,0
225,1,2,123,11,4,6,1
226,1,2,9,56,16,37,3
227,1,2,104,25,8,14,3
228,1,2,33,21,5,15,1
229,1,2,62,21,7,10,4
230,1,2,22,0,0,0,0
231,1,3,44,32,8,21,3
232,1,3,103,22,6,13,3
233,1,3,28,16,6,9,1
234,1,3,105,24,8,16,0
235,1,3,13,35,11,22,2
236,1,3,71,11,7,3,1
237,1,3,7,28,7,20,1
238,1,3,46,33,11,20,2
239,1,3,48,27,11,14,2
240,1,3,19,17,3,13,1
241,1,3,41,32,10,18,4
242,1,3,14,23,9,13,1
243,1,3,67,49,19,26,4
244,1,3,17,14,4,8,2
245,1,3,61,20,11,9,0
246,1,3,102,30,8,17,5
247,1,3,110,28,11,15,2
248,1,3,108,28,9,17,2
249,1,3,75,59,21,33,5
250,1,3,73,31,10,19,2
251,1,3,60,18,8,6,4
252,1,3,68,17,6,11,0
253,1,3,79,19,9,7,3
254,1,3,121,22,5,16,1
255,1,3,23,17,5,12,0
256,1,3,42,23,9,13,1
257,1,3,115,45,11,32,2
258,1,3,52,37,16,20,1
259,1,3,122,18,5,12,1
260,1,3,1,22,8,14,0
261,1,3,72,35,7,26,2
262,1,3,109,28,3,25,0
263,1,3,24,11,5,4,2
264,1,3,81,15,3,8,4
265,1,3,90,16,7,9,0
266,1,3,112,10,5,5,0
267,1,3,43,45,17,25,3
268,1,3,84,15,3,12,0
269,1,3,47,32,7,22,3
270,1,3,77,25,12,11,2
271,1,3,101,20,2,16,2
272,1,3,83,22,9,12,1
273,1,3,113,27,11,14,2
274,1,3,120,24,6,17,1
275,1,3,70,35,16,15,4
276,1,3,69,10,7,2,1
277,1,3,66,21,9,12,0
278,1,3,114,55,16,33,6
279,1,3,76,6,1,5,0
280,1,3,63,16,7,7,2
281,1,3,45,21,5,16,0
282,1,3,106,21,11,9,1
283,1,3,10,30,11,17,2
284,1,3,78,6,4,2,0
285,1,3,6,45,21,20,4
286,1,3,5,20,9,11,0
287,1,3,94,18,9,8,1
288,1,3,40,35,12,20,3
289,1,3,34,26,11,13,2
290,1,3,32,19,10,7,2
291,1,3,50,22,9,10,3
292,1,3,25,14,5,8,1
293,1,3,100,9,3,5,1
294,1,3,18,40,15,20,5
295,1,3,20,10,2,7,1
296,1,3,111,7,5,2,0
297,1,3,107,19,4,12,3
298,1,3,30,16,3,11,2
299,1,3,49,13,5,8,0
300,1,3,88,6,1,3,2
301,1,3,26,14,4,9,1
302,1,3,123,6,0,6,0
303,1,3,9,36,13,20,3
304,1,3,104,33,12,19,2
305,1,3,33,19,4,15,0
306,1,3,62,20,6,11,3
307,1,3,22,0,0,0,0
308,1,4,44,58,21,35,2
309,1,4,103,21,8,10,3
310,1,4,28,10,3,5,2
311,1,4,105,22,8,11,3
312,1,4,13,20,4,14,2
313,1,4,71,17,5,9,3
314,1,4,7,21,14,5,2
315,1,4,46,25,9,16,0
316,1,4,48,29,8,20,1
317,1,4,19,18,5,13,0
318,1,4,41,14,5,7,2
319,1,4,14,24,9,13,2
320,1,4,67,24,8,14,2
321,1,4,17,5,2,3,0
322,1,4,61,16,5,11,0
323,1,4,102,26,6,17,3
324,1,4,110,44,18,23,3
325,1,4,108,29,5,22,2
326,1,4,75,33,13,20,0
327,1,4,73,22,7,8,7
328,1,4,60,21,10,9,2
329,1,4,68,10,2,5,3
330,1,4,79,13,4,8,1
331,1,4,121,14,6,8,0
332,1,4,23,16,6,8,2
333,1,4,42,19,8,8,3
334,1,4,115,64,27,35,2
335,1,4,52,22,13,8,1
336,1,4,122,11,2,9,0
337,1,4,1,15,3,10,2
338,1,4,72,27,5,20,2
339,1,4,109,22,11,9,2
340,1,4,24,12,1,8,3
341,1,4,81,15,7,6,2
342,1,4,90,25,14,10,1
343,1,4,112,5,2,3,0
344,1,4,43,41,14,26,1
345,1,4,84,9,2,6,1
346,1,4,47,30,10,17,3
347,1,4,77,24,9,10,5
348,1,4,101,15,3,7,5
349,1,4,83,24,15,8,1
350,1,4,113,28,9,17,2
351,1,4,120,18,10,8,0
352,1,4,70,18,6,11,1
353,1,4,69,12,7,3,2
354,1,4,66,31,6,22,3
355,1,4,114,58,21,35,2
356,1,4,76,3,1,2,0
357,1,4,63,10,7,2,1
358,1,4,45,20,1,19,0
359,1,4,106,23,11,9,3
360,1,4,10,19,9,7,3
361,1,4,78,12,3,9,0
362,1,4,6,20,4,12,4
363,1,4,5,7,4,2,1
364,1,4,94,10,4,4,2
365,1,4,40,33,10,20,3
366,1,4,34,36,10,26,0
367,1,4,32,17,4,11,2
368,1,4,50,17,11,5,1
369,1,4,25,18,7,11,0
370,1,4,100,6,2,3,1
371,1,4,18,25,10,13,2
372,1,4,20,10,2,7,1
373,1,4,111,6,0,6,0
374,1,4,107,17,7,9,1
375,1,4,30,24,8,15,1
376,1,4,49,8,3,4,1
377,1,4,88,4,1,3,0
378,1,4,26,7,3,2,2
379,1,4,123,8,2,6,0
380,1,4,9,27,7,19,1
381,1,4,104,29,13,15,1
382,1,4,33,10,5,5,0
383,1,4,62,11,2,8,1
384,1,4,22,0,0,0,0
385,1,5,44,22,5,16,1
386,1,5,103,14,8,5,1
387,1,5,28,8,2,6,0
388,1,5,105,20,12,7,1
389,1,5,13,15,6,8,1
390,1,5,71,18,7,9,2
391,1,5,7,13,6,6,1
392,1,5,46,36,15,16,5
393,1,5,48,15,5,10,0
394,1,5,19,10,1,9,0
395,1,5,41,22,10,11,1
396,1,5,14,11,8,3,0
397,1,5,67,17,7,10,0
398,1,5,17,7,4,2,1
399,1,5,61,14,8,4,2
400,1,5,102,29,11,16,2
401,1,5,110,25,9,13,3
402,1,5,108,22,10,11,1
403,1,5,75,37,10,24,3
404,1,5,73,16,4,11,1
405,1,5,60,7,1,6,0
406,1,5,68,8,3,4,1
407,1,5,79,13,2,8,3
408,1,5,121,17,6,8,3
409,1,5,23,15,5,8,2
410,1,5,42,17,10,5,2
411,1,5,115,44,22,19,3
412,1,5,52,26,12,12,2
413,1,5,122,8,2,4,2
414,1,5,1,16,3,13,0
415,1,5,72,13,7,6,0
416,1,5,109,15,6,8,1
417,1,5,24,8,3,5,0
418,1,5,81,11,4,7,0
419,1,5,90,19,12,6,1
420,1,5,112,2,1,1,0
421,1,5,43,25,10,10,5
422,1,5,84,8,3,4,1
423,1,5,47,18,8,10,0
424,1,5,77,10,3,7,0
425,1,5,101,8,3,3,2
426,1,5,83,19,8,8,3
427,1,5,113,29,10,18,1
428,1,5,120,16,5,9,2
429,1,5,70,24,9,12,3
430,1,5,69,9,2,6,1
431,1,5,66,9,3,5,1
432,1,5,114,17,8,8,1
433,1,5,76,3,1,1,1
434,1,5,63,9,1,7,1
435,1,5,45,19,3,13,3
436,1,5,106,19,8,9,2
437,1,5,10,8,1,7,0
438,1,5,78,7,4,2,1
439,1,5,6,9,4,4,1
440,1,5,5,6,3,3,0
441,1,5,94,8,6,1,1
442,1,5,40,26,6,19,1
443,1,5,34,20,7,10,3
444,1,5,32,11,5,5,1
445,1,5,50,4,2,2,0
446,1,5,25,12,4,7,1
447,1,5,100,3,2,1,0
448,1,5,18,13,6,5,2
449,1,5,20,5,3,1,1
450,1,5,111,6,2,4,0
451,1,5,107,12,2,6,4
452,1,5,30,22,7,13,2
453,1,5,49,8,2,6,0
454,1,5,88,0,0,0,0
455,1,5,26,12,2,9,1
456,1,5,123,3,0,3,0
457,1,5,9,11,5,5,1
458,1,5,104,18,7,11,0
459,1,5,33,10,4,3,3
460,1,5,62,12,3,9,0
461,1,5,22,0,0,0,0
462,1,6,44,24,7,17,0
463,1,6,103,24,13,11,0
464,1,6,28,12,5,7,0
465,1,6,105,19,8,8,3
466,1,6,13,11,3,8,0
467,1,6,71,16,7,6,3
468,1,6,7,7,3,4,0
469,1,6,46,25,13,10,2
470,1,6,48,18,7,11,0
471,1,6,19,9,3,6,0
472,1,6,41,18,11,5,2
473,1,6,14,19,11,8,0
474,1,6,67,32,13,15,4
475,1,6,17,4,2,2,0
476,1,6,61,10,4,5,1
477,1,6,102,13,7,5,1
478,1,6,110,13,4,7,2
479,1,6,108,12,8,3,1
480,1,6,75,40,18,18,4
481,1,6,73,35,11,20,4
482,1,6,60,10,5,4,1
483,1,6,68,10,2,6,2
484,1,6,79,24,8,10,6
485,1,6,121,17,7,6,4
486,1,6,23,22,8,11,3
487,1,6,42,15,7,8,0
488,1,6,115,17,7,8,2
489,1,6,52,29,15,11,3
490,1,6,122,10,5,4,1
491,1,6,1,12,5,7,0
492,1,6,72,10,6,3,1
493,1,6,109,9,5,4,0
494,1,6,24,10,5,5,0
495,1,6,81,19,9,8,2
496,1,6,90,10,3,6,1
497,1,6,112,5,2,2,1
498,1,6,43,31,13,14,4
499,1,6,84,11,5,5,1
500,1,6,47,19,7,10,2
501,1,6,77,24,10,13,1
502,1,6,101,10,5,5,0
503,1,6,83,30,8,17,5
504,1,6,113,30,13,14,3
505,1,6,120,17,4,9,4
506,1,6,70,17,7,8,2
507,1,6,69,13,8,4,1
508,1,6,66,7,3,4,0
509,1,6,114,25,7,16,2
510,1,6,76,7,3,4,0
511,1,6,63,9,4,5,0
512,1,6,45,16,6,7,3
513,1,6,106,30,12,15,3
514,1,6,10,8,2,6,0
515,1,6,78,8,3,5,0
516,1,6,6,6,4,0,2
517,1,6,5,9,2,7,0
518,1,6,94,5,2,2,1
519,1,6,40,16,6,10,0
520,1,6,34,14,5,8,1
521,1,6,32,15,4,10,1
522,1,6,50,8,2,6,0
523,1,6,25,11,4,4,3
524,1,6,100,3,1,2,0
525,1,6,18,6,1,5,0
526,1,6,20,8,0,6,2
527,1,6,111,6,1,5,0
528,1,6,107,12,3,7,2
529,1,6,30,7,1,6,0
530,1,6,49,15,6,8,1
531,1,6,88,3,1,1,1
532,1,6,26,4,2,1,1
533,1,6,123,5,3,1,1
534,1,6,9,8,2,5,1
535,1,6,104,17,2,13,2
536,1,6,33,7,5,2,0
537,1,6,62,5,2,2,1
538,1,6,22,0,0,0,0
539,1,7,44,33,14,15,4
540,1,7,103,27,10,14,3
541,1,7,28,12,2,6,4
542,1,7,105,35,18,13,4
543,1,7,13,18,5,9,4
544,1,7,71,34,15,17,2
545,1,7,7,9,3,2,4
546,1,7,46,35,11,20,4
547,1,7,48,16,7,8,1
548,1,7,19,14,4,5,5
549,1,7,41,33,11,14,8
550,1,7,14,28,11,16,1
551,1,7,67,51,21,17,13
552,1,7,17,6,2,4,0
553,1,7,61,22,4,13,5
554,1,7,102,29,15,11,3
555,1,7,110,25,9,9,7
556,1,7,108,18,8,7,3
557,1,7,75,65,23,34,8
558,1,7,73,37,14,17,6
559,1,7,60,25,8,11,6
560,1,7,68,8,4,1,3
561,1,7,79,22,8,10,4
562,1,7,121,14,9,5,0
563,1,7,23,17,3,8,6
564,1,7,42,28,8,16,4
565,1,7,115,31,12,18,1
566,1,7,52,29,13,15,1
567,1,7,122,16,3,9,4
568,1,7,1,17,10,6,1
569,1,7,72,14,3,6,5
570,1,7,109,21,6,7,8
571,1,7,24,13,6,5,2
572,1,7,81,28,14,11,3
573,1,7,90,27,8,13,6
574,1,7,112,10,5,2,3
575,1,7,43,48,18,25,5
576,1,7,84,9,3,6,0
577,1,7,47,30,7,19,4
578,1,7,77,34,10,18,6
579,1,7,101,12,3,7,2
580,1,7,83,34,15,19,0
581,1,7,113,35,12,19,4
582,1,7,120,30,11,13,6
583,1,7,70,24,9,13,2
584,1,7,69,18,6,10,2
585,1,7,66,18,5,6,7
586,1,7,114,38,11,16,11
587,1,7,76,3,2,0,1
588,1,7,63,13,2,8,3
589,1,7,45,37,11,25,1
590,1,7,106,33,9,19,5
591,1,7,10,7,3,4,0
592,1,7,78,12,4,5,3
593,1,7,6,8,4,3,1
594,1,7,5,11,4,5,2
595,1,7,94,17,6,8,3
596,1,7,40,28,7,19,2
597,1,7,34,19,7,12,0
598,1,7,32,18,4,10,4
599,1,7,50,18,6,10,2
600,1,7,25,35,3,27,5
601,1,7,100,2,1,1,0
602,1,7,18,22,5,14,3
603,1,7,20,13,3,9,1
604,1,7,111,13,7,4,2
605,1,7,107,16,5,9,2
606,1,7,30,16,7,8,1
607,1,7,49,32,4,25,3
608,1,7,88,12,4,6,2
609,1,7,26,10,4,5,1
610,1,7,123,7,0,7,0
611,1,7,9,13,4,7,2
612,1,7,104,24,8,13,3
613,1,7,33,17,6,8,3
614,1,7,62,22,7,12,3
615,1,7,22,0,0,0,0
616,1,8,44,42,14,16,12
617,1,8,103,48,15,25,8
618,1,8,28,21,7,13,1
619,1,8,105,45,17,20,8
620,1,8,13,24,8,14,2
621,1,8,71,39,11,14,14
622,1,8,7,23,6,11,6
623,1,8,46,34,13,15,6
624,1,8,48,41,14,22,5
625,1,8,19,42,27,12,3
626,1,8,41,44,15,17,12
627,1,8,14,47,17,28,2
628,1,8,67,58,23,26,9
629,1,8,17,18,6,10,2
630,1,8,61,164,18,142,4
631,1,8,102,32,11,16,5
632,1,8,110,22,12,9,1
633,1,8,108,29,12,13,4
634,1,8,75,86,39,36,11
635,1,8,73,51,18,25,8
636,1,8,60,23,11,8,4
637,1,8,68,29,7,16,6
638,1,8,79,35,12,19,4
639,1,8,121,29,8,12,9
640,1,8,23,25,5,15,5
641,1,8,42,46,12,25,9
642,1,8,115,33,11,18,4
643,1,8,52,44,10,27,7
644,1,8,122,35,13,16,6
645,1,8,1,30,12,15,3
646,1,8,72,26,9,11,6
647,1,8,109,31,13,13,5
648,1,8,24,25,6,13,6
649,1,8,81,32,12,12,8
650,1,8,90,33,15,14,4
651,1,8,112,28,15,13,0
652,1,8,43,71,29,35,7
653,1,8,84,21,7,12,2
654,1,8,47,53,19,27,7
655,1,8,77,50,18,23,9
656,1,8,101,29,12,12,5
657,1,8,83,38,19,15,4
658,1,8,113,53,18,27,8
659,1,8,120,38,12,17,9
660,1,8,70,47,16,24,7
661,1,8,69,24,8,10,6
662,1,8,66,24,11,9,4
663,1,8,114,54,19,28,7
664,1,8,76,13,7,4,2
665,1,8,63,21,6,15,0
666,1,8,45,41,14,22,5
667,1,8,106,40,15,23,2
668,1,8,10,12,3,5,4
669,1,8,78,19,10,6,3
670,1,8,6,17,6,9,2
671,1,8,5,18,5,12,1
672,1,8,94,21,13,5,3
673,1,8,40,32,12,17,3
674,1,8,34,18,10,6,2
675,1,8,32,30,5,17,8
676,1,8,50,26,7,18,1
677,1,8,25,30,8,17,5
678,1,8,100,12,6,5,1
679,1,8,18,37,20,15,2
680,1,8,20,25,8,13,4
681,1,8,111,20,11,7,2
682,1,8,107,24,10,10,4
683,1,8,30,11,3,7,1
684,1,8,49,39,12,26,1
685,1,8,88,17,5,10,2
686,1,8,26,20,6,12,2
687,1,8,123,23,8,10,5
688,1,8,9,23,7,14,2
689,1,8,104,32,13,16,3
690,1,8,33,15,4,10,1
691,1,8,62,25,9,14,2
692,1,8,22,0,0,0,0
693,1,9,44,48,16,28,4
694,1,9,103,60,24,27,9
695,1,9,28,29,11,14,4
696,1,9,105,52,19,24,9
697,1,9,13,41,15,24,2
698,1,9,71,41,13,24,4
699,1,9,7,27,5,17,5
700,1,9,46,49,13,29,7
701,1,9,48,37,12,21,4
702,1,9,19,45,25,15,5
703,1,9,41,52,26,18,8
704,1,9,14,52,22,24,6
705,1,9,67,49,14,18,17
706,1,9,17,24,16,6,2
707,1,9,61,36,15,19,2
708,1,9,102,37,19,16,2
709,1,9,110,29,10,15,4
710,1,9,108,27,12,11,4
711,1,9,75,67,26,33,8
712,1,9,73,59,25,20,14
713,1,9,60,31,13,13,5
714,1,9,68,32,9,14,9
715,1,9,79,52,13,30,9
716,1,9,121,33,5,19,9
717,1,9,23,21,4,10,7
718,1,9,42,33,10,16,7
719,1,9,115,56,27,27,2
720,1,9,52,32,14,15,3
721,1,9,122,22,4,11,7
722,1,9,1,44,16,20,8
723,1,9,72,33,16,15,2
724,1,9,109,50,26,20,4
725,1,9,24,23,5,10,8
726,1,9,81,32,10,11,11
727,1,9,90,44,23,15,6
728,1,9,112,20,10,7,3
729,1,9,43,75,17,44,14
730,1,9,84,35,14,14,7
731,1,9,47,41,13,25,3
732,1,9,77,47,16,26,5
733,1,9,101,16,4,9,3
734,1,9,83,34,13,17,4
735,1,9,113,65,22,34,9
736,1,9,120,29,6,16,7
737,1,9,70,42,13,23,6
738,1,9,69,34,11,12,11
739,1,9,66,24,14,6,4
740,1,9,114,68,23,36,9
741,1,9,76,17,4,7,6
742,1,9,63,21,8,7,6
743,1,9,45,37,16,12,9
744,1,9,106,37,11,16,10
745,1,9,10,16,7,8,1
746,1,9,78,19,10,9,0
747,1,9,6,25,14,10,1
748,1,9,5,34,9,23,2
749,1,9,94,24,14,8,2
750,1,9,40,64,17,34,13
751,1,9,34,34,10,20,4
752,1,9,32,23,8,10,5
753,1,9,50,30,7,22,1
754,1,9,25,33,15,14,4
755,1,9,100,15,8,4,3
756,1,9,18,41,14,17,10
757,1,9,20,21,10,9,2
758,1,9,111,24,10,11,3
759,1,9,107,16,4,10,2
760,1,9,30,26,10,13,3
761,1,9,49,46,8,32,6
762,1,9,88,30,11,13,6
763,1,9,26,20,8,9,3
764,1,9,123,22,6,11,5
765,1,9,9,22,7,14,1
766,1,9,104,40,13,23,4
767,1,9,33,27,8,15,4
768,1,9,62,28,11,12,5
769,1,9,22,1,0,0,1
770,1,10,44,62,16,33,13
771,1,10,103,66,20,32,14
772,1,10,28,19,5,10,4
773,1,10,105,54,13,33,8
774,1,10,13,44,14,28,2
775,1,10,71,45,16,23,6
776,1,10,7,13,4,7,2
777,1,10,46,53,11,31,11
778,1,10,48,47,11,29,7
779,1,10,19,46,19,23,4
780,1,10,41,45,23,16,6
781,1,10,14,65,21,41,3
782,1,10,67,66,23,31,12
783,1,10,17,26,8,12,6
784,1,10,61,38,10,20,8
785,1,10,102,46,20,21,5
786,1,10,110,27,11,10,6
787,1,10,108,31,13,11,7
788,1,10,75,87,32,43,12
789,1,10,73,65,21,36,8
790,1,10,60,19,9,6,4
791,1,10,68,23,9,11,3
792,1,10,79,44,12,26,6
793,1,10,121,37,6,27,4
794,1,10,23,32,11,17,4
795,1,10,42,45,11,30,4
796,1,10,115,46,13,27,6
797,1,10,52,58,13,40,5
798,1,10,122,28,8,14,6
799,1,10,1,29,14,13,2
800,1,10,72,27,8,9,10
801,1,10,109,60,24,28,8
802,1,10,24,22,5,12,5
803,1,10,81,38,13,20,5
804,1,10,90,37,15,17,5
805,1,10,112,28,6,17,5
806,1,10,43,73,20,35,18
807,1,10,84,45,18,17,10
808,1,10,47,43,15,21,7
809,1,10,77,42,13,25,4
810,1,10,101,27,14,10,3
811,1,10,83,40,19,17,4
812,1,10,113,41,12,25,4
813,1,10,120,43,9,21,13
814,1,10,70,43,13,26,4
815,1,10,69,33,10,15,8
816,1,10,66,24,7,10,7
817,1,10,114,62,28,24,10
818,1,10,76,13,5,6,2
819,1,10,63,27,12,12,3
820,1,10,45,35,11,17,7
821,1,10,106,33,16,11,6
822,1,10,10,24,8,13,3
823,1,10,78,25,7,16,2
824,1,10,6,27,11,16,0
825,1,10,5,31,10,18,3
826,1,10,94,14,6,4,4
827,1,10,40,76,23,43,10
828,1,10,34,33,14,12,7
829,1,10,32,32,6,15,11
830,1,10,50,18,4,10,4
831,1,10,25,55,5,48,2
832,1,10,100,19,6,7,6
833,1,10,18,40,16,18,6
834,1,10,20,35,12,20,3
835,1,10,111,21,10,4,7
836,1,10,107,36,10,21,5
837,1,10,30,24,5,15,4
838,1,10,49,33,7,20,6
839,1,10,88,21,5,11,5
840,1,10,26,13,3,9,1
841,1,10,123,15,3,10,2
842,1,10,9,25,8,13,4
843,1,10,104,42,15,17,10
844,1,10,33,29,8,17,4
845,1,10,62,30,8,16,6
846,1,10,22,2,0,2,0
847,1,11,44,80,21,49,10
848,1,11,103,52,14,32,6
849,1,11,28,34,6,24,4
850,1,11,105,42,15,21,6
851,1,11,13,42,16,23,3
852,1,11,71,40,12,18,10
853,1,11,7,27,6,17,4
854,1,11,46,55,14,31,10
855,1,11,48,67,18,43,6
856,1,11,19,46,9,33,4
857,1,11,41,56,26,24,6
858,1,11,14,70,24,43,3
859,1,11,67,45,18,22,5
860,1,11,17,14,2,9,3
861,1,11,61,38,17,16,5
862,1,11,102,42,17,19,6
863,1,11,110,39,15,18,6
864,1,11,108,25,6,10,9
865,1,11,75,93,26,50,17
866,1,11,73,62,17,38,7
867,1,11,60,48,15,22,11
868,1,11,68,32,12,15,5
869,1,11,79,42,12,24,6
870,1,11,121,46,9,30,7
